Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
38354	20	0.00	0	-0.43	21.10	0	7	0	-252	-278	-34	
38465	20	0.00	0	-0.34	21.10	0	7	0	-225	-302	-10	
38576	20	0.00	0	-0.34	21.10	0	7	0	-214	-177	-25	
38687	20	0.00	0	0.18	21.20	0	7	0	-244	-265	-3	
38796	20	0.00	0	-0.08	21.10	0	7	0	-221	-168	-4	
38908	20	0.00	0	-0.08	21.10	0	7	0	-192	-170	-12	
39019	20	0.00	0	0.10	21.10	0	7	0	-254	-310	-21	
39128	20	0.00	0	0.18	21.10	0	7	0	-251	-342	-33	
39239	20	0.00	0	0.01	21.20	0	7	0	-222	-169	-11	
39349	20	0.00	0	0.27	21.10	0	7	0	-217	-228	-3	
39465	20	0.00	0	0.53	21.20	0	7	0	-249	-268	-40	
39576	20	0.00	0	0.27	21.20	0	7	0	-219	-178	-13	
39685	20	0.00	0	0.01	21.20	0	7	0	-228	-208	-24	
39795	20	0.00	0	0.27	21.20	0	7	0	-224	-325	-17	
39905	20	0.00	0	0.10	21.20	0	7	0	-235	-305	-22	
40015	20	0.00	0	0.18	21.20	0	7	0	-208	-267	-11	
40124	20	0.00	0	0.01	21.20	0	7	0	-231	-268	-22	
40234	20	0.00	0	0.18	21.20	0	7	0	-243	-272	13	
40397	20	0.00	0	0.36	21.20	0	7	0	-238	-241	-17	
40506	20	0.00	0	0.27	21.20	0	7	0	-260	-274	-29	
40616	20	0.00	0	0.01	21.20	0	7	0	-249	-243	-20	
40733	20	0.00	0	0.45	21.20	0	7	0	-204	-231	-30	
40842	20	0.00	0	0.88	21.20	0	7	0	-219	-225	-1	
40953	20	0.00	0	0.53	21.20	0	7	0	-239	-291	-33	
41062	20	0.00	0	0.80	21.20	0	7	0	-242	-230	-2	
41173	20	0.00	0	0.18	21.20	0	7	0	-232	-248	-11	
41283	20	0.00	0	0.71	21.20	0	7	0	-223	-251	15	
41392	20	0.00	0	0.45	21.20	0	7	0	-239	-274	10	
41503	20	0.00	0	-0.08	21.20	0	7	0	-231	-255	-31	
41613	20	0.00	0	0.53	21.20	0	8	0	-251	-290	2	
41723	20	0.00	0	-0.17	21.20	0	7	0	-245	-236	-13	
41841	20	0.00	0	0.18	21.20	0	7	0	-221	-207	-21	
41950	20	0.00	0	0.27	21.20	0	7	0	-227	-289	-14	
42061	20	0.00	0	0.10	21.20	0	7	0	-235	-286	-24	
42170	20	0.00	0	-0.25	21.20	0	7	0	-235	-229	-27	
42281	20	0.00	0	0.10	21.20	0	7	0	-241	-301	-7	
42392	20	0.00	0	0.01	21.20	0	7	0	-253	-238	-31	
42501	20	0.00	0	0.36	21.20	0	7	0	-206	-213	0	
42611	20	0.00	0	0.18	21.20	0	7	0	-232	-244	23	
42720	20	0.00	0	0.18	21.20	0	7	0	-253	-311	-9	
42831	20	0.00	0	-0.25	21.20	0	7	0	-225	-292	-10	
42942	20	0.00	0	0.27	21.20	0	7	0	-201	-256	12	
43058	20	0.00	0	0.53	21.20	0	7	0	-244	-214	-34	
43169	20	0.00	0	0.18	21.20	0	7	0	-243	-228	-2	
43278	20	0.00	0	0.62	21.20	0	7	0	-234	-198	-33	
43388	20	0.00	0	0.36	21.20	0	7	0	-249	-306	-34	
43499	20	0.00	0	0.36	21.20	0	7	0	-228	-289	-4	
43608	20	0.00	0	0.53	21.20	0	7	0	-197	-211	6	
43718	20	0.00	0	0.71	21.20	0	7	0	-222	-208	-25	
43827	20	0.00	0	-0.08	21.20	0	7	0	-238	-211	6	
